Test ID,Description,Component,Model,test_time,test_type,stress_able,test_utility,description,,,,,,,,
11,The R/W test for memory device(RAM),DIAG – Stress,Minipack_COMe,60s,P/F,stress_ok,memtester,main board ram testing,,,,,,,,
14,The simple R/W test for memory device(RAM),DIAG – Stress,Minipack_COMe,180s,P/F,stress_ok,memtester,simple main board ram testing,,,,,,,,
52,The R/W test for storage disk,DIAG – Stress,Minipack_COMe,180s,P/F,stress_ok,memtester,storage disks read/write testing,,,,,,,,
53,The R/W test for external storage disk,DIAG – Stress,Minipack_COMe,180s,P/F,stress_ok,memtester,external storage disks read/write testing,,,,,,,,
56,The stressapptest test for storage disk,DIAG – Stress,Minipack_COMe,180s,P/F,stress_ok,memtester,storage disks stesss app testing,,,,,,,,
57,The performance test for storage disk,DIAG – Stress,Minipack_COMe,180s,P/F,stress_ok,memtester,storage disks read/write testing,,,,,,,,
58,The R/W test for NVMe storage disk,DIAG – Stress,Minipack_COMe,180s,P/F,stress_ok,memtester,storage disks read/write testing,,,,,,,,
59,The performance test for NVMe storage disk,DIAG – Stress,Minipack_COMe,180s,P/F,stress_ok,memtester,storage disks read/write testing,,,,,,,,
60,The stressapptest,DIAG – Stress,Minipack_COMe,180s,P/F,stress_ok,stressapptest,storage disks read/write test,,,,,,,,
61,The mprime test,DIAG – Stress,Minipack_COMe,180s,P/F,stress_ok,mprime,diag mprime test,,,,,,,,
62,The performance test for memory,DIAG – Stress,Minipack_COMe,180s,P/F,stress_ok,memtester,momory performance test,,,,,,,,
63,The stress-ng performance test for CPU,DIAG – Stress,Minipack_COMe,180s,P/F,stress_ok,stress,stress-ng performance test for CPU, DIAG,,,,,,,
999,The unitest for diag test cases(MFG mode),DIAG – Stress,Minipack_COMe,180s,P/F,stress_ok,memtester,diag test,,,,,,,,
1,Check EEPROM of cpu management port,DIAG,Minipack_COMe,180s,P/F,stress_ok,memtester,diag test,,,,,,,,
2,Read MAC address from cpu management port,DIAG,Minipack_COMe,1s,P/F,stress_ok,script,reading memory address from cpu management port,,,,,,,,
4,The probe test cp2112 for usb-to-i2c bus,DIAG,Minipack_COMe,180s,P/F,stress_ok,n/a,diag test,,,,,,,,
5,The R/W test for RTC timer,DIAG,Minipack_COMe,180s,P/F,stress_ok,n/a,RTC timer r/w test,,,,,,,,
6,The R/W and keepalive test for Watchdog timer,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,watchdog timer r/w keepalive test,,,,,,,,
7,The ICMP ECHO test for CPU management interface,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,CPU mgmt ICMP ECHO test,,,,,,,,
8,Monitor CPUs temperature,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,CPU memory monitor test,,,,,,,,
9,TPM test for COM-E,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,COM-E TPM test,,,,,,,,
11,The R/W test for memory device(RAM),DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,COMe r/w test,,,,,,,,
13,The Physical test for memory device(RAM),DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
31,Get HW information from SMB FRU EEPROM(CP2112),DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
32,Set HW information into SMB FRU EEPROM(CP2112),DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
33,Get HW information from PIM FRU EEPROM(CP2112),DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
34,Set HW information into PIM FRU EEPROM(CP2112),DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
35,Get transceiver information from transceiver EEPROM,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
36,The simple stress test for CP2112 I2C Bus,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
52,The R/W test for storage disk,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
53,The R/W test for external storage disk,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
54,Show COM-E HW information,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
56,Show Tomahawk 3 PCIe SPI flash version,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
58,The R/W test for NVMe storage disk,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
63,The stress-ng performance test for CPU,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
70,The R/W test of devices for BMC management,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
71,The information check for BMC management,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
72,The Fan speed test,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
75,Get HW information from FRU EEPROM(BMC),DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
76,Set HW information into FRU EEPROM(BMC),DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
77,MFG mode The sensor test for BMC management,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
78,The information check for MAC address from COM-E and BMC,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
79,Mode check for BCM5396,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
80,Power Button test,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
82,Test system LED,DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
83,Set post LED(0x00 - 0xFF),DIAG,Minipack_COMe,60s,P/F,stress_ok,n/a,,,,,,,,,
