sort,partner_type,country,company,address,telephone,fax,img_filename,company_link
ASIA PACIFIC,distributor,Australia,Endy Australia,"1/14 Wellington Street, Acacia Ridge Brisbane QLD 4110",TEL: 1300 725 323 Press option 1,FAX: ,Endy Australia.png,http://www.endy.com.au
ASIA PACIFIC,distributor,Australia,Newgen Systems,"Newgen Systems Pty Ltd Suite 401, 737 Burwood Road Hawthorn East 3123",TEL: +61 (0) 3 9894 5130,FAX: +61 (0) 3 9894 5131,Newgen Systems.png,http://www.newgensystems.com/
ASIA PACIFIC,distributor,Bangladesh,Richman Informatics,"Navana DH Tower, Suite # 502, 6 Panthopath, Dhaka-1215, Bangladesh",TEL: +880 (2) 9143683,FAX: ,Richman Informatics.png,http://www.richman.com.bd/
ASIA PACIFIC,distributor,China,ATAN,"1F, 63, No.421, Hong Cao Rd., Shanghai 200233 China",TEL: +86-21-64859922 ext:3806,FAX: ,ATAN.png,
ASIA PACIFIC,distributor,China,Nocsys,"1st Floor, No. 63 Building, No. 421 Hong Cao Road, Xuhui District, Shanghai, China",TEL: +86-21-3497 0308,FAX: +86-21-6495 7934,Nocsys.png,http://www.nocsys.cn
ASIA PACIFIC,distributor,India,SEC Communications Pvt Ltd.,"# 3675, Prerana, Ground Floor, 8th Cross, HAL 2nd Stage, Bangalore","TEL: +91-80-25210886, +91-80-42286554",FAX: +91-80-25210886,SEC Communications Pvt Ltd..png,www.seccom.org
ASIA PACIFIC,distributor,India,Tara Consultants Pvt Ltd.,"#307 , 3rd Floor , Osian Building Building No-12, Nehru Place, New Delhi-110019",TEL: +919811686026,FAX: ,Tara Consultants Pvt Ltd..png,http://www.tcplonline.com/
ASIA PACIFIC,distributor,India,Electronic Product Services India Pvt. Ltd.,"Jupiter 1, 30:1, 4th Cross, 7th Block, Jayanagar West, Bangalore",TEL: +91 98733-81338,FAX: 080-26770048,Electronic Product Services India Pvt. Ltd..png,https://www.epsglobal.com/manufacturers/edgecore
ASIA PACIFIC,distributor,Indonesia,PT. AFC Dinamika Indonesia,"Jalan Pangeran Jayakarta No.129, Blok D30. Jakarta 10730, Indonesia",TEL: +6221 6266546,FAX: +6221 6246409,PT. AFC Dinamika Indonesia.png,http://www.afcwave.co.id/
ASIA PACIFIC,distributor,Indonesia,PT. Mega Komputindo Lestari,"Wima Cormic, Blok A4-7, Jl. Suryopranoto No. 1-9 Jakarta Pusat, 10160, Indonesia","TEL: +6221-3501188, 3501555",FAX: +6221-3503180,PT. Mega Komputindo Lestari.png,http://www.mkl.co.id
ASIA PACIFIC,distributor,Japan,"APRESIA Systems, Ltd.","8F, Tsukiji Daiichi Nagaoka Bldg. 2-3-4 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",TEL: 03-6369-0401,FAX: 03-3549-0455,"APRESIA Systems, Ltd..png",http://www.apresia.jp/products/whitebox/edgecore/index.html
ASIA PACIFIC,distributor,Malaysia,ECode Technologies Sdn Bhd,"B-5-2, Block B, Ativo Plaza,  Jalan PJU 9/1, Damansara Avenue, Bandar Sri Damansara,  52200 Kuala Lumpur, Malaysia",TEL: +6019 651 8946,FAX: +603 6263 8946,ECode Technologies Sdn Bhd.png,https://www.ecode.com.my/
ASIA PACIFIC,distributor,Myanmar,Loi Heng International,"Yangong office: 253(B), Seikkan Thar Street [Upper block] Kyauktada Township",TEL: (01) 246221/ (01) 372841,FAX: ,Loi Heng International.png,http://loiheng.com/
ASIA PACIFIC,distributor,Myanmar,Loi Heng International,"Mandalay Office: 16,34th Street Between 78th & 79th Street ChanAyeTharZan Township",TEL: 02) 31 660/ (01) 120 3474,FAX: ,Loi Heng International.png,http://loiheng.com/
ASIA PACIFIC,distributor,Nepal,Green Cube Technologies Pvt. Ltd.,"New Baneshwor, Kathmandu, Nepal",TEL: 01-4787059,FAX: ,Green Cube Technologies Pvt. Ltd..png,https://greencube.com.np/
ASIA PACIFIC,distributor,New Zealand,Computer Dynamics Limited,"130 Bush Road, North Harbour Industrial Estate, Albany, Auckland",TEL: 64 9 415 9002,FAX: 64 9 415 9003,Computer Dynamics Limited.png,http://www.cdlnz.com
ASIA PACIFIC,distributor,Philippines,"BANBROS COMMERCIAL., INC.","#32 Pilar St. Corner Araullo St., Addition Hills, San Juan City",TEL: 63-2-7051700,FAX: 63-2-7272955,"BANBROS COMMERCIAL., INC..png",http://www.banbros.ph/
ASIA PACIFIC,distributor,Singapore,Starview International Pte Ltd,60 Kaki Bukit Place #05-19 Eunos Techpark Singapore 415979,TEL: +65 3157 5338,FAX: +65 3112 8181,Starview International Pte Ltd.png,http://www.starviewint.com/
ASIA PACIFIC,distributor,South Korea,INFO-A Inc,"701, 26, Seoul Forest A-Tower, Sung Dong-Gu, Seoul, Korea, 04779",TEL: 82 2 6077 7550,FAX: 82 2 6937 1640,INFO-A Inc.png,http://www.in4a.co.kr 
ASIA PACIFIC,distributor,South Korea,"YESCNC CO., LTD","1005, Seoulseup IT Valley, 77, Seongsuil-ro, Seongdong-gu, Seoul, Korea, Zip.04790",TEL: +82-2-3471-1475,FAX: +82-2-3471-1478,"YESCNC CO., LTD.png",http://www.yescnc.co.kr/
