Jenkins,/Home/BuildRoot,137
broadcom,sonic-swss-build,35-20190327
broadcom,sonic-swss-build,36-20190329
broadcom,sonic-swss-build,37-20190330
broadcom,sonic-swss-build,38-20190331
broadcom,sonic-swss-build,39-20190401
broadcom,Buildimage-brcm-all,911-20190327
broadcom,Buildimage-brcm-all-frr,64-20190328
broadcom,buildimage-brcm-all-pr,3938-20190401
broadcom,sonic-sairedis-build,436-2019007
broadcom,sonic-sairedis-build-pr,632-20190325
broadcom,sonic-swss-build,857-20190326
broadcom,Sonic-swss-build-pr,1744-20190123
mellanox,buildimage-mlnx-201811,36-20190327
mellanox,buildimage-mlnx-201810,37-20190329
mellanox,buildimage-mlnx-201809,38-20190330
mellanox,buildimage-mlnx-201808,39-20190331
mellanox,buildimage-mlnx-201807,40-20190401
mellanox,buildimage-mlnx-all,928-20190328
mellanox,Buildimage-mlnx-all-frr,39-20190328
mellanox,Buildimage-mlnx-all-pr,4368-20190401
mellanox,buildimage-mlnx-rpc-all,630-20190328
mellanox,sonic-sairedis-build,592-20190307
mellanox,sonic-sairedis-build-pr,623-20190325
mellanox,sonic-swss-build,998-20190326
mellanox,sonic-sws-build-pr,1742-20190123
mellanox,sonic-sws-build-pr,1743-20190123
barefoot,buildimage-bf-201712,5-20180609
barefoot,buildimage-bf-201807,17-20190310
barefoot,buildimage-bf-all,252-20190328
barefoot,buildimage-bf-all-frr,51-20190328
cavium,buildimage-cavm-201709,455-20180318
cavium,buildimage-cavm-201708,456-20180512
cavium,buildimage-cavm-all-pr,1321-20170919
cavium,buildimage-cavm-all-pr,1322-20170920
cavium,sonic-sairedis-build,449-20190307
cavium,sonic-sairedis-build-pr,152-20170914
cavium,sonic-sairedis-build-pr,153-20170914
cavium,sonic-swss-build,528-20190322
centec,buildimage-centec-201709,380-20180317
centec,buildimage-centec-201708,381-20180318
centec,buildimage-centec-201707,382-20180512
centec,buildimage-centec-20112,4-20180609
marvell,buildimage-mrvl-201709,204-20180318
marvell,buildimage-mrvl-201708,205-20180512
marvell,buildimage-mrvl-201712,5-20180609
marvell,buildimage-mrvl-201803,123-20190307
marvell,buildimage-mrvl-all-pr,118-20170920
marvell,buildimage-mrvl-all-pr,119-20170920
nephos,buildimage-nephos-201709,131-20180317
nephos,buildimage-nephos-201708,132-20180512
nephos,buildimage-nephos-201712,4-20180609
nephos,buildimage-nephos-201803,122-20190310
nephos,buildimage-nephos-201802,123-20190319
nephos,buildimage-nephos-all,438-20190329
p4,buildimage-p4-all,1000-20190328
p4,buildimage-p4-all,1001-20190329
p4,buildimage-p4-all,1002-20190330
p4,buildimage-p4-all-pr,783-20170531
p4,buildimage-p4-all-pr,784-20170531
p4,buildimage-p4-all-pr,787-20170601
p4,p4-bmv2,7-20160924
p4,p4-bmv3,11-20170209
p4,p4-hlir,40-20170512
p4,p4-switch,45-20161102
p4,p4-switch,46-20161225
p4,p4c-bm,02-20160522
p4,p4c-bm,03-20160522
p4,sonic-sairedis-build,304-20190305
p4,sonic-swss-build,95-20170106
p4,sonic-swss-build,96-20170106
p4,tenjin,1-20160523
p4,tenjin,2-20160523
bldenv,docker-sonic-mgmt,584-20190329
bldenv,docker-sonic-mgmt,585-20190329
bldenv,sonic-slave,1111-20190327
bldenv,sonic-slave-cleanup,227-20190328
bldenv,sonic-slave-stretch,304-20190327
